config,seed,teste,f1_macro,accuracy,f1_negativo,f1_positivo
C1,42,T1,0.9436459750695966,0.9436567164179105,0.9428679530836171,0.944423997055576
C1,42,T2,0.9083062192430975,0.9085820895522388,0.9032767469403868,0.9133356915458083
C1,42,T3,0.956710246058694,0.9567164179104478,0.9561933534743202,0.9572271386430679
C1,42,T4,0.9507198940845485,0.9507462686567164,0.9495798319327731,0.9518599562363238
C1,123,T1,0.9485072045916916,0.9485074626865672,0.9486224869694714,0.9483919222139118
C1,123,T2,0.921541117584604,0.9216417910447762,0.9187306501547987,0.9243515850144092
C1,123,T3,0.9593188370133965,0.9593283582089552,0.9586964759378552,0.9599411980889379
C1,123,T4,0.957451217637189,0.9574626865671642,0.956752655538695,0.9581497797356828
C1,2024,T1,0.9499993038441725,0.95,0.949812734082397,0.950185873605948
C1,2024,T2,0.9131891213861146,0.9134328358208955,0.9085894405043341,0.9177888022678952
C1,2024,T3,0.9510906323682551,0.9511194029850746,0.9499043977055449,0.9522768670309654
C1,2024,T4,0.9492150118908881,0.9492537313432836,0.9478127398311589,0.9506172839506173
C2,42,T1,0.9380265334699625,0.9380597014925374,0.9394602479941648,0.9365928189457601
C2,42,T2,0.9246266977649761,0.9246268656716418,0.9245142002989537,0.9247391952309985
C2,42,T3,0.9563374415628957,0.9563432835820895,0.9558323895809739,0.9568424935448174
C2,42,T4,0.9567077141260857,0.9567164179104478,0.9560938682816048,0.9573215599705666
C2,123,T1,0.94887085155321,0.9488805970149253,0.9495767390504233,0.9481649640559969
C2,123,T2,0.9275867351912979,0.9276119402985075,0.9262357414448669,0.928937728937729
C2,123,T3,0.9574550097032435,0.9574626865671642,0.9568835098335855,0.9580265095729014
C2,123,T4,0.9563262029828719,0.9563432835820895,0.9554625047582794,0.9571899012074643
C2,2024,T1,0.9473859426566924,0.9473880597014925,0.9470521967705595,0.9477196885428254
C2,2024,T2,0.9263795297275628,0.9264925373134328,0.9234951456310679,0.9292639138240575
C2,2024,T3,0.9540865210845576,0.9541044776119403,0.9531785306433194,0.9549945115257958
C2,2024,T4,0.9548241718821289,0.9548507462686567,0.9537284894837476,0.9559198542805101
C3,42,T1,0.9249912170881003,0.925,0.9258028792912514,0.9241795548849491
C3,42,T2,0.8925238459931769,0.8925373134328358,0.8913207547169811,0.8937269372693727
C3,42,T3,0.9369031822155354,0.9369402985074626,0.9353728489483748,0.9384335154826958
C3,42,T4,0.9398560297090137,0.9399253731343283,0.9378138277327154,0.9418982316853122
C3,123,T1,0.9354326495717211,0.9354477611940298,0.9364204336640941,0.9344448654793482
C3,123,T2,0.8957474548600785,0.8958955223880597,0.8918185343156262,0.8996763754045307
C3,123,T3,0.9395359408528474,0.9395522388059702,0.9385432473444613,0.9405286343612335
C3,123,T4,0.9387540905389339,0.9388059701492537,0.9369715603382014,0.9405366207396664
C3,2024,T1,0.9208856088560886,0.9208955223880597,0.92,0.9217712177121771
C3,2024,T2,0.8656698028673835,0.8664179104477612,0.8556451612903225,0.8756944444444444
C3,2024,T3,0.9350167224080268,0.9350746268656717,0.933076923076923,0.9369565217391305
C3,2024,T4,0.9289620535714286,0.9291044776119403,0.92578125,0.9321428571428572
C4,42,T1,0.8242535111218534,0.8242537313432836,0.8244502422661201,0.8240567799775869
C4,42,T2,0.7654135127065806,0.7675373134328358,0.7877342419080068,0.7430927835051546
C4,42,T3,0.8824448627834109,0.8824626865671642,0.8838923700700332,0.8809973554967888
C4,42,T4,0.8835810521813516,0.8835820895522388,0.8839285714285714,0.8832335329341318
C4,123,T1,0.820143538593699,0.8205223880597015,0.8283981448448091,0.811888932342589
C4,123,T2,0.735338418179039,0.7425373134328358,0.7789878283151825,0.6916890080428955
C4,123,T3,0.8812477844735909,0.8813432835820896,0.8846153846153846,0.8778801843317973
C4,123,T4,0.8771943337132418,0.8772388059701492,0.8795313072134749,0.8748573602130088
C4,2024,T1,0.8206050422375821,0.8212686567164179,0.8315160042208934,0.8096940802542709
C4,2024,T2,0.7121482117107232,0.7246268656716418,0.7720815318097591,0.6522148916116871
C4,2024,T3,0.8808266414599559,0.8809701492537313,0.8849621348719798,0.876691148047932
C4,2024,T4,0.8823270146480704,0.8824626865671642,0.8863226272103933,0.8783314020857474
